Unit,Curriculum (Page Heading),Title of Problem,Github Link to File,Starter File Name
1,Lab 1 - Using the Random Block,Exercise 3 - Random Alonzo,edc/unit1/M1_W1_L1_T3.js,
1,Lab 1 - Finishing Your First Snap App,Exercises 2 (Take it Further) - Ghostly Random Alonzo,edc/unit1/M1_W1_L1_T4.js,
1,Lab 3 - Designing Custom Blocks,Exercise 4 - Draw Triangle,edc/unit1/W2_L1_T1_ETIF1.js,
1,Lab 3 - Designing Custom Blocks,Exercise 5 - Draw House,edc/unit1/W2_L1_T1_ETIF2.js,
1,Lab 3 - Giving Your Block an Input Variable,Exercise 1 - Draw Square with Input,edc/unit1/M1_U1_L4_T1.js,
1,Lab 3 - Giving Your Block an Input Variable,Exercise 3 - 'Draw Triangle' and 'Draw House' with Input,edc/unit1/M1_U1_L4_T2.js,
1,Lab 3 - Giving Your Block an Input Variable,Exercise 1 (Take it Further) - Draw Polygon,edc/unit1/M1_U1_L4_T3.js,
2,Lab 1 - Using Lists to Write Vowel?,Exercise 1 - Vowel? using list and contains,edc/unit2/U2_W1_L1_T3_E1.js,
2,Lab 1 - Developing a Block that Makes Plurals,Exercise 6 - Plural,edc/unit2/U2_W1_L1_T5_E_all.js,
2,"Lab 1 - Plurals, Continued",Exercise 3 - Plural with Plural-h and Plural-y,edc/unit2/U2_W1_L1_T6_E_all.js,
2,Lab 2 - Script Variables,Exercise 6 (Part 4) - Raise Base to the Power Exponent,edc/unit2/U2_W1_L2_T1_E4.js,
2,Lab 3 - Predicates and Logic,Exercise 4 - >= Block,edc/unit2/U2_W1_L3_T1_E4.js,
2,Lab 3 - Composition of Functions,"Exercises 1,2,3 - 'Three Input Addition', 'Sum of Two Smallest', and 'Are Any Equal'",edc/unit2/U2_W1_L3_T4_E_all.js,
2,Lab 4 - Developing a Board Game,Exercise 2 - Is Between,edc/unit2/U2_W1_L4_T3_E2.js,
X,Homework 1 - Word Guessing Game,Word Guessing Game,edc/hw1_WordGuessingGame.js,edc/hw1_starter_file.xml
X,Homework 2 - Word Guessing Game Part 2,Word Guessing Game Part 2,edc/hw2_scaffold_tests.js,
5,Lab 1 - Analyzing and Improving Searches,"Exercises 1,4 - Position of Number in Unsorted/Sorted List",edc/unit5/U5_L1_P2_T3.js,
5,Lab 2 - Building a Graphing App,"Exercises 3,5 - 'Go to Scaled Point' and 'Graph Datapoints'",edc/unit5/U5_L2_P1_T3.js,edc/unit5/U5_L2_P1_T3_starter.xml
5,Lab 2 - Improving Your Grapher,"Exercises 3,4,5 - 'Ages', 'Heights', 'Weights', 'Average', 'Female Data', and 'Male Data;",edc/unit5/U5_L2_P2_T2.js,
5,Lab 2 - Graphing Functions,Exercise 1 - Graph Function,edc/unit5/U5_L2_P3_T3.js,
5,Lab 3 - Comparing Algorithms,Exercise 1 - 'Alphie Way' and 'Betsy Way',edc/unit5/M4_W5_L3_E1.js,
5,Lab 3 - A Distinct List Algorithm,"Exercises 1,3 - 'Are the Numbers Distinct' and 'Duplicates'",edc/unit5/M4_W5_L3_E2.js,
5,Lab 3 - Classifying Algorithms,Exercise 2 - '1000 Numbers' and 'All Digit Numbers',edc/unit5/U5_L3_P4_T2.js,edc/unit5/U5_L3_P4_T2_starter.xml
,,,,
6,Lab 1 - Recursive Tree,"Exercises 1,2,3,4,5,6 - 'Tree 1/2/3/4/5 Size' and 'Tree Level: Size:'",edc/unit6/U6_L1_P1_T1.js,
6,Lab 2 - Triangle Fractal,Exercise 1 - Triangle Size,edc/unit6/U6_L2_T1.js,
6,Lab 2 - Triangle Fractal,Exercise 2 - Triangle Fractal,edc/unit6/U6_L2_T2.js,
6,Lab 2 - Koch Snowflake,Exercise 2 - Koch Curve,edc/unit6/U6_L2_T3.js,
,,,,
,Caesar's Cipher Submission,Caesar's Cipher,mooc3/M3_W5_L1_T3.js,
,Subset Sum Submission,Subset Sum,mooc3/M3_W5_L1_T5.js,
,,,,
7,Lab 1 - Working With Recursive Reporters,Exercise 3 - Triangles in Fractal,edc/unit7/U7_L1_P2_E1.js,
7,Lab 1 - Writing Recursive Reporters,Exercise 3 - Factorial,edc/unit7/U7_L1_P3_E1.js,
7,Lab 1 - Writing Recursive Reporters,"Exercises 6,7 - 'Letter Count' and 'My Join Words'",edc/unit7/U7_L1_P3_E2.js,
7,Lab 2 - Sorting a List,Exercise 2 - Sort,edc/unit7/U7_L2_P1_E1.js,
7,Lab 2 - Selection Sort,"Exercises 3,6 - 'Earliest In' and 'Selection Sort'",edc/unit7/U7_L2_P2_E1.js,
7,Lab 2 - Partition Sort,Exercise 5 - Partition Sort,edc/unit7/U7_L2_P3_E1.js,
7,Lab 2 - Partition Sort,Exercise 6 - Sorting a List of 500 Elements,edc/unit7/U7_L2_P3_EC1.js,
7,Lab 3 - Binary Conversion,Exercise 1 - Decimal to Binary,mooc4/M4_EC1_L1_T1.js,
7,Lab 3 - Base Conversion,"Exercises 1,2,3 - 'Base7', 'Base', and 'From Base'",mooc4/M4_EC1_L1_T2.js,
7,Lab 4 - Plurals and Other Simple Recursions,"Exercises 1,2 - 'Squares' and 'Exaggerate'",edc/unit7/U7_L4_P1_E1_2.js,
7,Lab 4 - Generalizing the Map Pattern,"Exercises 1,3 - 'Exaggerate' with map and 'Pairup'",edc/unit7/U7_L4_P2_E1_3.js,
7,Lab 4 - Even Numbers and Keep,"Exercises 1,2 - 'Ends-e' and 'Numbers'",mooc4/M4_W2_L3_T1.js,
7,Lab 4 - Even Numbers and Keep,"Exercises 3,4 - 'Keep' and 'Combine'",edc/unit7/U7_L4_P3_E3_4.js,edc/unit7/U7_L4_P3_E3_4_starter.xml
X,The Dragon Curve,The Dragon Curve,mooc4/M4_W4_L2_T1.js,
X,Towers of Hanoi,Towers of Hanoi,mooc4/M4_W4_L3_T1.js,
X,Merge Sorted,Merge Sorted,mooc4/M4_W4_L5_T1.js,
X,Higher-Order Procedures,Higher-Order Procedures,mooc4/M4_W5_L1_T1.js,
